Week,Low_Vol,Med_Vol,High_Vol
2010-12-27,1.0,0.0,0.0
2011-01-03,1.0,0.0,0.0
2011-01-10,1.0,0.0,0.0
2011-01-18,1.0,0.0,0.0
2011-01-24,1.0,0.0,0.0
2011-01-31,0.9,0.1,0.0
2011-02-07,0.9,0.1,0.0
2011-02-14,0.6,0.4,0.0
2011-02-22,0.6,0.4,0.0
2011-02-28,0.4,0.4,0.2
2011-03-07,0.3,0.6,0.1
2011-03-14,0.4,0.5,0.1
2011-03-21,0.6,0.2,0.2
2011-03-28,1.0,0.0,0.0
2011-04-04,1.0,0.0,0.0
2011-04-11,1.0,0.0,0.0
2011-04-18,1.0,0.0,0.0
2011-04-25,1.0,0.0,0.0
2011-05-02,1.0,0.0,0.0
2011-05-09,0.7,0.3,0.0
2011-05-16,1.0,0.0,0.0
2011-05-23,0.9,0.1,0.0
2011-05-31,1.0,0.0,0.0
2011-06-06,0.7,0.3,0.0
2011-06-13,0.3,0.7,0.0
2011-06-20,1.0,0.0,0.0
2011-06-27,0.7,0.3,0.0
2011-07-05,0.5,0.5,0.0
2011-07-11,0.9,0.1,0.0
2011-07-18,0.9,0.1,0.0
2011-07-25,0.2,0.8,0.0
2011-08-01,0.5,0.5,0.0
2011-08-08,0.0,0.2,0.8
2011-08-15,0.0,0.1,0.9
2011-08-22,0.0,0.0,1.0
2011-08-29,0.0,0.0,1.0
2011-09-06,0.1,0.0,0.9
2011-09-12,0.0,0.0,1.0
2011-09-19,0.0,0.0,1.0
2011-09-26,0.0,0.1,0.9
2011-10-03,0.0,0.5,0.5
2011-10-10,0.0,0.5,0.5
2011-10-17,0.0,0.1,0.9
2011-10-24,0.0,0.2,0.8
2011-10-31,0.0,0.1,0.9
2011-11-07,0.0,0.2,0.8
2011-11-14,0.1,0.1,0.8
2011-11-21,0.0,0.2,0.8
2011-11-28,0.0,1.0,0.0
2011-12-05,0.0,0.6,0.4
2011-12-12,0.0,0.4,0.6
2011-12-19,0.0,0.9,0.1
2011-12-27,0.1,0.8,0.1
2012-01-03,0.2,0.6,0.2
2012-01-09,0.2,0.7,0.1
2012-01-17,0.3,0.6,0.1
2012-01-23,0.3,0.5,0.2
2012-01-30,0.6,0.4,0.0
2012-02-06,0.8,0.2,0.0
2012-02-13,0.9,0.1,0.0
2012-02-21,1.0,0.0,0.0
2012-02-27,0.9,0.1,0.0
2012-03-05,0.8,0.2,0.0
2012-03-12,0.9,0.1,0.0
2012-03-19,0.9,0.1,0.0
2012-03-26,1.0,0.0,0.0
2012-04-02,1.0,0.0,0.0
2012-04-09,0.9,0.1,0.0
2012-04-16,1.0,0.0,0.0
2012-04-23,0.9,0.1,0.0
2012-04-30,1.0,0.0,0.0
2012-05-07,1.0,0.0,0.0
2012-05-14,0.1,0.9,0.0
2012-05-21,0.2,0.7,0.1
2012-05-29,0.1,0.9,0.0
2012-06-04,0.0,0.8,0.2
2012-06-11,0.1,0.7,0.2
2012-06-18,0.2,0.5,0.3
2012-06-25,0.7,0.3,0.0
2012-07-02,1.0,0.0,0.0
2012-07-09,1.0,0.0,0.0
2012-07-16,1.0,0.0,0.0
2012-07-23,1.0,0.0,0.0
2012-07-30,0.8,0.2,0.0
2012-08-06,1.0,0.0,0.0
2012-08-13,1.0,0.0,0.0
2012-08-20,1.0,0.0,0.0
2012-08-27,1.0,0.0,0.0
2012-09-04,1.0,0.0,0.0
2012-09-10,1.0,0.0,0.0
2012-09-17,1.0,0.0,0.0
2012-09-24,1.0,0.0,0.0
2012-10-01,1.0,0.0,0.0
2012-10-08,1.0,0.0,0.0
2012-10-15,1.0,0.0,0.0
2012-10-22,1.0,0.0,0.0
2012-10-31,1.0,0.0,0.0
2012-11-05,1.0,0.0,0.0
2012-11-12,0.7,0.0,0.3
2012-11-19,0.9,0.0,0.1
2012-11-26,1.0,0.0,0.0
2012-12-03,1.0,0.0,0.0
2012-12-10,1.0,0.0,0.0
2012-12-17,1.0,0.0,0.0
2012-12-24,1.0,0.0,0.0
2012-12-31,1.0,0.0,0.0
2013-01-07,1.0,0.0,0.0
2013-01-14,1.0,0.0,0.0
2013-01-22,1.0,0.0,0.0
2013-01-28,1.0,0.0,0.0
2013-02-04,1.0,0.0,0.0
2013-02-11,1.0,0.0,0.0
2013-02-19,1.0,0.0,0.0
2013-02-25,1.0,0.0,0.0
2013-03-04,0.8,0.2,0.0
2013-03-11,1.0,0.0,0.0
2013-03-18,1.0,0.0,0.0
2013-03-25,1.0,0.0,0.0
2013-04-01,1.0,0.0,0.0
2013-04-08,1.0,0.0,0.0
2013-04-15,1.0,0.0,0.0
2013-04-22,1.0,0.0,0.0
2013-04-29,1.0,0.0,0.0
2013-05-06,1.0,0.0,0.0
2013-05-13,1.0,0.0,0.0
2013-05-20,1.0,0.0,0.0
2013-05-28,1.0,0.0,0.0
2013-06-03,1.0,0.0,0.0
2013-06-10,0.7,0.3,0.0
